filename,series,width,height,position_index,ref,metric,ts,center,rotation,scale,center.c,center.r,tr16,xfmsequence
B_141_FB40-SL_1-ST_HEOS-SE_2_compressed.jp2,HEOS,10244.0,10515.0,2,4.0,,07-02-24(14:51),[-46720. -49344.],-1.5707963267948966,1.0,-46720.0,49344.0,"[2160.0, 1832.0]",rot180->rot90->pad
B_141_FB40-SL_2-ST_NISL-SE_4_compressed.jp2,NISL,9859.0,10542.0,4,5.0,1.0,07-02-24(14:51),[ 49248. -49344.],-0.0,1.0,49248.0,49344.0,"[1832.0, 1844.0]",pad
B_141_FB40-SL_2-ST_HEOS-SE_5_compressed.jp2,HEOS,9799.0,10650.0,5,7.0,1.3833105914350132,07-02-24(14:51),[-46784.  46656.],-3.141592653589793,1.0,-46784.0,-46656.0,"[2168.0, 2152.0]",rot180->pad->cog
B_141_FB40-SL_3-ST_NISL-SE_7_compressed.jp2,NISL,10709.0,10507.0,7,8.0,2.008415030707328,07-02-24(14:51),[-46656. -49344.],-2.1716187408153647,1.0,-46656.0,49344.0,[2416.45134668 1789.38022087],rot180->rot90->pad->cog
B_141_FB40-SL_3-ST_HEOS-SE_8_compressed.jp2,HEOS,,,8,10.0,2.025676699051952,07-02-24(14:51),[ 49568. -49664.],-0.0,1.0,49568.0,49664.0,"[1792.0, 1804.0]",pad->cog
B_141_FB40-SL_4-ST_NISL-SE_10_compressed.jp2,NISL,8948.0,9444.0,10,11.0,1.3393940150000427,07-02-24(14:51),[-46880. -49184.],-1.902819506037146,1.0,-46880.0,49184.0,[2413.33323616 1782.1485117 ],rot180->rot90->pad->cog
B_141_FB40-SL_4-ST_HEOS-SE_11_compressed.jp2,HEOS,12875.0,12645.0,11,13.0,1.3442479343202458,07-02-24(14:51),[-46400.  46432.],-2.017480654857186,1.0,-46400.0,-46432.0,[2483.11545076 1786.98766289],rot180->pad->cog
B_141_FB40-SL_5-ST_NISL-SE_13_compressed.jp2,NISL,10499.0,11267.0,13,14.0,1.2797434338412554,07-02-24(14:51),[-46688. -49440.],-2.142672578471689,1.0,-46688.0,49440.0,[2456.75419958 1798.87042115],rot180->rot90->pad->cog
B_141_FB40-SL_5-ST_HEOS-SE_14_compressed.jp2,HEOS,13028.0,14213.0,14,16.0,1.0504238044472334,07-02-24(14:51),[-46368.  46208.],-2.225868737861977,1.0,-46368.0,-46208.0,[2530.96893795 1771.99644097],rot180->pad->cog
B_141_FB40-SL_6-ST_NISL-SE_16_compressed.jp2,NISL,12335.0,12552.0,16,17.0,1.3511175425405986,07-02-24(14:51),[-46464. -49600.],-2.02545262139174,1.0,-46464.0,49600.0,[2461.3421515  1745.25384393],rot180->rot90->pad->cog
B_141_FB40-SL_6-ST_HEOS-SE_17_compressed.jp2,HEOS,15034.0,15953.0,17,20.0,1.4374516481130808,07-02-24(14:51),[-46112.  46016.],-2.019491651538558,1.0,-46112.0,-46016.0,[2533.31283533 1707.5430326 ],rot180->pad->cog->icp
B_141_FB40-SL_7-ST_HEOS-SE_20_compressed.jp2,HEOS,16972.0,18021.0,20,22.0,1.126711501539018,07-02-24(14:51),[-45888.  45760.],-2.352225583999363,1.0,-45888.0,-45760.0,[2598.95373928 1872.63280136],rot180->pad->cog->int
B_141_FB40-SL_8-ST_NISL-SE_22_compressed.jp2,NISL,13352.0,13892.0,22,23.0,1.0878086786503594,07-02-24(14:51),[-46336. -49760.],-2.332670795561633,1.0,-46336.0,49760.0,[2521.24550238 1831.29577652],rot180->rot90->pad->cog->int
B_141_FB40-SL_8-ST_HEOS-SE_23_compressed.jp2,HEOS,16548.0,17728.0,23,25.0,1.1534065441988224,07-02-24(14:51),[-45920.  45792.],-2.517283317039793,1.0,-45920.0,-45792.0,[2654.51126308 1930.72223264],rot180->pad->cog->int
B_141_FB40-SL_9-ST_NISL-SE_25_compressed.jp2,NISL,14944.0,15129.0,25,26.0,1.0797800357384346,07-02-24(14:51),[-46144. -49920.],-2.466941913349052,1.0,-46144.0,49920.0,[2567.69816195 1892.33597316],rot180->rot90->pad->cog->int
B_141_FB40-SL_9-ST_HEOS-SE_26_compressed.jp2,HEOS,,,26,28.0,1.0527359584953542,07-02-24(14:51),[ 50016. -50112.],-2.250294071095034,1.0,50016.0,50112.0,[2573.83361713 1830.88539218],pad->cog->int
B_141_FB40-SL_10-ST_NISL-SE_28_compressed.jp2,NISL,15735.0,15514.0,28,29.0,1.068983371132597,07-02-24(14:51),[-46048. -49952.],-2.4823225325265184,1.0,-46048.0,49952.0,[2576.20975693 1916.39533019],rot180->rot90->pad->cog->int
B_141_FB40-SL_10-ST_HEOS-SE_29_compressed.jp2,HEOS,15900.0,17668.0,29,31.0,1.103127582001152,07-02-24(14:51),[-46016.  45792.],-2.2320935219572458,1.0,-46016.0,-45792.0,[2588.09878579 1798.50177913],rot180->pad->cog->int
B_141_FB40-SL_11-ST_NISL-SE_31_compressed.jp2,NISL,15779.0,17468.0,31,32.0,1.084257731614309,07-02-24(14:51),[-46016. -50208.],-2.158222608983581,1.0,-46016.0,50208.0,[2586.57428874 1791.25838789],rot180->rot90->pad->cog->int
B_141_FB40-SL_11-ST_HEOS-SE_32_compressed.jp2,HEOS,16868.0,17763.0,32,34.0,1.084308889980221,07-02-24(14:51),[-45888.  45792.],-2.2573102098557163,1.0,-45888.0,-45792.0,[2662.50322125 1842.70540243],rot180->pad->cog->int
B_141_FB40-SL_12-ST_NISL-SE_34_compressed.jp2,NISL,18260.0,20421.0,34,35.0,1.0477221129629246,07-02-24(14:51),[-45728. -50560.],-2.318073649757867,1.0,-45728.0,50560.0,[2650.60273003 1828.92775134],rot180->rot90->pad->cog->int
B_141_FB40-SL_12-ST_HEOS-SE_35_compressed.jp2,HEOS,19090.0,19644.0,35,37.0,1.137200397189346,07-02-24(14:51),[-45600.  45536.],-2.319465373827406,1.0,-45600.0,-45536.0,[2741.44419897 1876.96095688],rot180->pad->cog->int
B_141_FB40-SL_13-ST_NISL-SE_37_compressed.jp2,NISL,17576.0,18057.0,37,38.0,1.0855601792681635,07-02-24(14:51),[-45792. -50272.],-2.2243709412528148,1.0,-45792.0,50272.0,[2636.51948347 1808.30853496],rot180->rot90->pad->cog->int
B_141_FB40-SL_13-ST_HEOS-SE_38_compressed.jp2,HEOS,18320.0,18782.0,38,40.0,1.0737781720153392,07-02-24(14:51),[-45696.  45664.],-2.297177438476925,1.0,-45696.0,-45664.0,[2668.46686649 1871.90329351],rot180->pad->cog->int
B_141_FB40-SL_14-ST_NISL-SE_40_compressed.jp2,NISL,19487.0,18692.0,40,41.0,1.0305806723280757,07-02-24(14:51),[-45568. -50368.],-2.2477233894227413,1.0,-45568.0,50368.0,[2655.44854107 1837.92234604],rot180->rot90->pad->cog->int
B_141_FB40-SL_14-ST_HEOS-SE_41_compressed.jp2,HEOS,19656.0,19485.0,41,43.0,1.1460383591908432,07-02-24(14:51),[ 50464. -50464.],0.736070676889821,1.0,50464.0,50464.0,[1891.29681755 1880.47713173],pad->cog->int
B_141_FB40-SL_15-ST_NISL-SE_43_compressed.jp2,NISL,18772.0,20200.0,43,44.0,1.0872428384712016,07-02-24(14:51),[-45664. -50528.],-2.105774622652452,1.0,-45664.0,50528.0,[2647.32308525 1759.52596922],rot180->rot90->pad->cog->int
B_141_FB40-SL_15-ST_HEOS-SE_44_compressed.jp2,HEOS,18032.0,21434.0,44,46.0,1.0743816325536482,07-02-24(14:51),[-45760.  45312.],-2.192815834318832,1.0,-45760.0,-45312.0,[2710.40110219 1783.382092  ],rot180->pad->cog->int
B_141_FB40-SL_16-ST_NISL-SE_46_compressed.jp2,NISL,19474.0,21000.0,46,47.0,1.0534428567330814,07-02-24(14:51),[-45568. -50656.],-2.121950208374924,1.0,-45568.0,50656.0,[2648.6719524  1746.36108529],rot180->rot90->pad->cog->int
